阿	a
籿	ckmm
吋	ckom
皴	ckp
膥	ckrm
墫	cktm
侟	ckvm
忖	ckx
存	ckz
蹲	ckzb
踆	ckzm
摻	clam
摲	clan
蚕	clc
蠶	clcm
蝅	clcn
蠺	clco
残	cld
殘	cldm
湌	clem
澯	clen
灿	clh
黪	clhb
燦	clhm
黲	clhn
穇	clho
爘	clhp
鏒	cljm
篸	clkm
粲	clm
骖	clmb
驂	clmm
嬠	clnm
喰	clom
嘇	clon
囋	cloo
孱	clp
朁	clrm
参	cls
餐	clsb
參	clsm
飡	clsn
叄	clso
叅	clsp
飱	clsq
薒	clum
傪	clvm
儏	clvn
璨	clw
惨	clx
惭	clxb
慚	clxm
慘	clxn
慙	clxo
憯	clxp
謲	clym
措	coa
搓	coab
挫	coac
撮	coad
痤	cob
瘥	cobb
厝	coc
齹	cocm
剉	codm
剒	codn
縒	cofm
酂	cofn
酇	cofo
庴	cogm
髊	cogn
虘	cohm
棤	coim
错	coj
锉	cojb
錯	cojm
銼	cojn
鎈	cojo
鹾	col
脞	colb
鹺	colm
睉	comm
磋	cop
醝	coqm
嵯	cos
矬	cosb
嵳	cosm
莡	coum
莝	coun
蒫	couo
蓌	coup
蔖	couq
瑳	cowm
諎	coym
蹉	coz
夎	cozm
逪	cozn
遳	cozo
攒	cra
撺	crab
攢	cram
攛	cran
攅	crao
殩	crdm
汆	cre
濽	crem
灒	cren
爨	crh
熶	crhm
穳	crhn
櫕	crim
欑	crin
镩	crj
鑹	crjm
鋑	crjn
篡	crk
簒	crkm
巑	crsm
菆	crum
窜	crx
竄	crxm
窽	crxn
窾	crxo
蹿	crz
躥	crzm
匆	csb
賩	csbm
賨	csbn
從	cscm
徔	cscn
従	csco
徖	cscp
蟌	cscq
淙	cse
潀	csem
潈	csen
漗	cseo
漎	csep
潨	cseq
灇	cser
聪	csf
聰	csfm
聡	csfn
聦	csfo
繱	csfp
丛	csh
焧	cshm
熜	cshn
爜	csho
枞	csi
樅	csim
棇	csin
楤	csio
樬	csip
樷	csiq
欉	csir
錝	csjm
鍯	csjn
鏓	csjo
鏦	csjp
篵	cskm
骢	csm
驄	csmm
瞛	csmn
騘	csmo
婃	csnm
囱	csp
碂	cspm
暰	csrm
葱	csu
苁	csub
蔥	csum
蓯	csun
茐	csuo
藂	csup
从	csv
琮	csw
璁	cswb
囪	cswm
瑽	cswn
忩	csxm
怱	csxn
悤	csxo
悰	csxp
愡	csxq
慒	csxr
憁	csxs
叢	csym
誴	csyn
謥	csyo
孮	cszm
瘄	cubm
瘯	cubn
徂	cuc
殂	cud
縬	cufm
橻	cuim
觕	cujm
簇	cuk
脨	culm
麁	culn
麄	culo
麆	culp
麤	culq
粗	cum
鼀	cumm
媨	cunm
噈	cuom
皻	cupm
醋	cuq
猝	cuqb
酢	cuqc
卒	cus
蔟	cuu
促	cuv
怚	cuxm
憱	cuxn
誎	cuym
顣	cuyn
蹙	cuz
蹴	cuzb
趨	cuzm
趗	cuzn
踀	cuzo
踧	cuzp
踿	cuzq
蹵	cuzr
摧	cva
瘁	cvb
疩	cvbm
凗	cvbn
皠	cvbo
淬	cve
漼	cvem
濢	cven
紣	cvfm
缞	cvfn
綷	cvfo
縗	cvfp
焠	cvhm
熣	cvhn
榱	cvi
椊	cvim
槯	cvin
鏙	cvjm
衰	cvk
襊	cvkm
脆	cvl
脃	cvlm
脺	cvln
膵	cvlo
膬	cvlp
臎	cvlq
粹	cvm
毳	cvmb
粋	cvmm
啐	cvo
啛	cvom
磪	cvpm
獕	cvqm
崔	cvs
崒	cvsm
嵟	cvsn
墔	cvtm
萃	cvu
催	cvv
伜	cvvm
倅	cvvn
璀	cvw
琗	cvwm
悴	cvx
忰	cvxm
慛	cvxn
竁	cvxo
翠	cvy
翆	cvym
顇	cvyn
趡	cvzm
橧	czim
竲	czlm
驓	czmm
噌	czo
层	czp
層	czpm
曾	czr
曽	czrm
嶒	czsm
蹭	czz
打	daa
搭	daab
撘	daam
瘩	dab
匒	dabm
蟽	dacm
大	dad
耷	dadb
剳	dadm
沓	dae
汏	daem
溚	daen
繨	dafm
鞑	dag
靼	dagb
韃	dagm
炟	dahm
燵	dahn
鎝	dajm
鎉	dajn
鐽	dajo
答	dak
褡	dakb
笪	dakc
笚	dakm
龖	dalm
龘	daln
眔	damm
妲	dan
嗒	dao
哒	daob
噠	daom
咑	daon
呾	daoo
亣	datm
垯	datn
畗	dato
畣	datp
墶	datq
荙	daum
荅	daun
薘	dauo
怛	dax
憚	daxm
羍	daym
詚	dayn
达	daz
達	dazm
迏	dazn
迖	dazo
迚	dazp
逹	dazq
跶	dazr
躂	dazs
捣	dca
搗	dcam
捯	dcan
擣	dcao
导	dcc
導	dccm
衜	dccn
螩	dcco
衟	dccp
到	dcd
刀	dcdb
刂	dcdc
纛	dcf
陦	dcfm
絩	dcfn
隝	dcfo
隯	dcfp
稻	dch
焘	dchb
燾	dchm
稲	dchn
朷	dcim
梼	dcin
椡	dcio
槝	dcip
檤	dciq
檮	dcir
帱	dcj
幬	dcjm
釖	dcjn
裯	dckm
箌	dckn
盗	dcm
盜	dcmm
叨	dco
嘄	dcom
噵	dcon
氘	dcq
岛	dcs
祷	dcsb
島	dcsm
禱	dcsn
屶	dcso
禂	dcsp
嶋	dcsq
嶌	dcsr
嶹	dcss
軇	dcst
壔	dctm
菿	dcum
倒	dcv
儔	dcvm
瓙	dcwm
悼	dcx
忉	dcxb
鱽	dcym
魛	dcyn
翢	dcyo
翿	dcyp
道	dcz
蹈	dczb
辺	dczm
舠	dczn
艔	dczo
贷	ddb
貸	ddbm
貣	ddbn
待	ddc
轪	ddcm
軑	ddcn
軚	ddco
蚮	ddcp
軩	ddcq
蝳	ddcr
歹	ddd
大	dddb
殆	dddc
歺	dddm
汏	ddem
瀻	dden
绐	ddf
紿	ddfm
緿	ddfn
戴	ddg
甙	ddgb
廗	ddgm
黛	ddh
黱	ddhm
柋	ddim
带	ddj
帶	ddjm
帒	ddjn
帯	ddjo
釱	ddjp
袋	ddk
箉	ddkm
簤	ddkn
襶	ddko
隸	ddlm
隷	ddln
駘	ddmm
鴏	ddnm
呆	ddo
呔	ddob
獃	ddqm
曃	ddrm
霴	ddrn
靆	ddro
岱	dds
叇	ddsm
埭	ddt
垈	ddtm
代	ddv
傣	ddvb
侢	ddvm
玳	ddw
瑇	ddwm
怠	ddx
懛	ddxm
詒	ddym
逮	ddz
迨	ddzb
跢	ddzm
艜	ddzn
蹛	ddzo
的	deb
得	dec
德	decb
蚮	decm
徳	decn
淂	deem
底	deg
棏	deim
锝	dej
鍀	dejm
脦	delm
嘚	deom
旳	derm
地	det
恴	dexm
惪	dexn
悳	dexo
抖	dfa
痘	dfb
蚪	dfc
斗	dfd
豆	dfdb
鬥	dfdm
剅	dfdn
鬦	dfdo
斣	dfdp
鬪	dfdq
鬭	dfdr
鬬	dfds
兜	dfe
瀆	dfem
浢	dfen
兠	dfeo
都	dff
陡	dffb
阧	dffm
郖	dffn
枓	dfim
梪	dfin
橷	dfio
钭	dfj
鈄	dfjm
鋀	dfjn
篼	dfk
脰	dflm
毭	dfmm
閗	dfmn
瞗	dfmo
闘	dfmp
吋	dfom
吺	dfon
唗	dfoo
唞	dfop
狵	dfqm
酘	dfqn
饾	dfsm
餖	dfsn
畓	dftm
蔸	dfu
荳	dfum
乧	dfvm
侸	dfvn
窦	dfx
竇	dfxm
读	dfy
讀	dfym
逗	dfz
扥	dgam
扽	dgan
挡	dha
擋	dham
攩	dhan
宕	dhb
蟷	dhcm
党	dhe
氹	dhem
潒	dhen
澢	dheo
灙	dhep
黨	dhhm
档	dhi
檔	dhim
欓	dhin
铛	dhj
鐺	dhjm
裆	dhk
凼	dhkb
襠	dhkm
筜	dhkn
簜	dhko
簹	dhkp
瞊	dhmm
盪	dhmn
闣	dhmo
婸	dhnm
噹	dhom
砀	dhp
碭	dhpm
礑	dhpn
雼	dhrm
崵	dhsm
嵣	dhsn
場	dhtm
當	dhtn
圵	dhto
垱	dhtp
壋	dhtq
荡	dhu
菪	dhub
蕩	dhum
蘯	dhun
偒	dhvm
儅	dhvn
珰	dhwm
瓽	dhwn
璫	dhwo
璗	dhwp
当	dhx
愓	dhxm
谠	dhy
讜	dhym
譡	dhyn
逿	dhzm
趤	dhzn
艡	dhzo
抵	dia
提	diab
扚	diam
拞	dian
掋	diao
揥	diap
摕	diaq
弟	dib
的	dibb
髢	dibm
厎	dicm
彽	dicn
蚳	dico
軧	dicp
蝃	dicq
蝭	dicr
螮	dics
奀	didm
奃	didn
滴	die
涤	dieb
滌	diem
浟	dien
渧	dieo
缔	dif
邸	difb
締	difm
阺	difn
隄	difo
聜	difp
底	dig
骶	digb
弤	digm
靮	dign
鞮	digo
秪	dihm
焍	dihn
棣	dii
柢	diib
杕	diim
枤	diin
枑	diio
梊	diip
梑	diiq
楴	diir
樀	diis
帝	dij
镝	dijb
觌	dijc
鏑	dijm
覿	dijn
釱	dijo
觝	dijp
鉪	dijq
第	dik
笛	dikb
袛	dikm
篴	dikn
肑	dilm
腣	diln
睇	dim
籴	dimb
糴	dimm
眱	dimn
馰	dimo
嫡	din
娣	dinb
牴	dinm
媂	dinn
鸐	dino
嘀	dio
呧	diom
哋	dion
唙	dioo
啲	diop
啇	dioq
嚁	dior
砥	dip
碲	dipb
碮	dipm
磾	dipn
狄	diq
旳	dirm
氐	dis
祗	disb
岻	dism
祶	disn
禘	diso
嵽	disp
嶳	disq
豴	disr
地	dit
堤	ditb
坻	ditc
墑	ditm
坘	ditn
坔	dito
埅	ditp
埊	ditq
埞	ditr
墆	dits
墬	ditt
蒂	diu
荻	diub
蓧	dium
苖	diun
苐	diuo
菂	diup
菧	diuq
蔕	diur
蔐	dius
蔋	diut
藡	diuu
低	div
仾	divm
俤	divn
偙	divo
僀	divp
敌	diw
敵	diwm
玓	diwn
珶	diwo
甋	diwp
怟	dixm
慸	dixn
诋	diy
翟	diyb
谛	diyc
羝	diyd
詆	diym
諦	diyn
廸	diyo
頔	diyp
諟	diyq
鯳	diyr
迪	diz
递	dizb
遞	dizm
逓	dizn
趆	dizo
遆	dizp
疐	dizq
遰	dizr
踶	dizs
蹢	dizt
掂	dja
攧	djam
典	djb
癫	djbb
癜	djbc
癲	djbm
痁	djbn
痶	djbo
瘨	djbp
厧	djcm
蜔	djcn
齻	djco
奠	djd
丶	djdb
奌	djdm
淀	dje
滇	djeb
澱	djem
阽	djf
店	djg
点	djh
點	djhm
扂	djhn
椣	djim
槙	djin
槇	djio
橝	djip
橂	djiq
钿	djj
鈿	djjm
簟	djk
驔	djmm
婰	djnm
婝	djnn
嚸	djom
殿	djp
碘	djpb
磹	djpm
靛	djq
猠	djqm
電	djrm
巅	djs
巔	djsm
嵮	djsn
巓	djso
电	djt
垫	djtb
甸	djtc
坫	djtd
墊	djtm
壂	djtn
蒧	djum
蕇	djun
佃	djv
佔	djvm
傎	djvn
玷	djw
敁	djwm
琔	djwn
敟	djwo
惦	djx
窴	djxm
颠	djy
顛	djym
顚	djyn
踮	djz
跕	djzm
蹎	djzn
撴	dkam
撉	dkan
蜳	dkcm
沌	dke
潡	dkem
庉	dkgm
炖	dkh
不	dkhb
燉	dkhm
楯	dkim
橔	dkin
钝	dkj
镦	dkjb
鈍	dkjm
鐓	dkjn
盾	dkm
盹	dkmb
驐	dkmm
犜	dknm
吨	dko
噸	dkom
礅	dkp
砘	dkpb
碷	dkpm
獤	dkqm
壿	dksm
墩	dkt
坉	dktm
墫	dktn
墪	dkto
伅	dkvm
敦	dkw
囤	dkwb
忳	dkxm
惇	dkxn
憞	dkxo
顿	dky
頓	dkym
蹲	dkz
遁	dkzb
趸	dkzc
躉	dkzm
逇	dkzn
遯	dkzo
踲	dkzp
蹾	dkzq
担	dla
掸	dlab
撣	dlam
擔	dlan
抌	dlao
撢	dlap
单	dlb
疸	dlbb
瘅	dlbc
赕	dlbd
賧	dlbm
癉	dlbn
髧	dlbo
癚	dlbp
贉	dlbq
蛋	dlc
蜑	dlcm
殚	dld
殫	dldm
刐	dldn
淡	dle
澹	dleb
泹	dlem
沊	dlen
澸	dleo
耽	dlf
郸	dlfb
聃	dlfc
鄲	dlfm
耼	dlfn
紞	dlfo
匰	dlfp
聸	dlfq
繵	dlfr
弹	dlg
彈	dlgm
弾	dlgn
黕	dlhm
燀	dlhn
黮	dlho
黵	dlhp
柦	dlim
卩	dlj
帎	dljm
觛	dljn
凼	dlk
箪	dlkb
簞	dlkm
衴	dlkn
褝	dlko
襌	dlkp
胆	dll
膽	dllm
腅	dlln
勯	dllo
眈	dlm
馾	dlmm
駳	dlmn
妉	dlnm
媅	dlnn
鴠	dlno
啖	dlo
單	dlom
呾	dlon
唌	dloo
啗	dlop
啿	dloq
噉	dlor
嘾	dlos
嚪	dlot
石	dlp
丹	dlpb
砃	dlpm
皽	dlpn
氮	dlq
狚	dlqm
酖	dlqn
醈	dlqo
旦	dlr
霮	dlrm
単	dlsm
躭	dlsn
餤	dlso
禫	dlsp
饏	dlsq
亶	dltm
萏	dlu
菪	dlub
蓞	dlum
但	dlv
儋	dlvb
亻	dlvc
伔	dlvm
僤	dlvn
玬	dlwm
瓭	dlwn
甔	dlwo
惮	dlx
憚	dlxm
惔	dlxn
愖	dlxo
窞	dlxp
憺	dlxq
诞	dly
誕	dlym
訑	dlyn
頕	dlyo
譂	dlyp
疍	dlzm
掉	dma
扚	dmam
凋	dmb
瘹	dmbm
虭	dmcm
蛁	dmcn
刁	dmd
刟	dmdm
奝	dmdn
殦	dmdo
汈	dmem
絩	dmfm
弔	dmgm
弴	dmgn
椆	dmim
钓	dmj
铞	dmjb
铫	dmjc
釣	dmjm
銱	dmjn
銚	dmjo
鈟	dmjp
鋽	dmjq
錭	dmjr
鑃	dmjs
簓	dmkm
竨	dmlm
盄	dmmm
瞗	dmmn
鸟	dmn
鳥	dmnm
鳭	dmnn
鵰	dmno
吊	dmo
叼	dmob
碉	dmp
屌	dmpm
雿	dmrm
彫	dmsm
鼦	dmsn
蓧	dmum
藋	dmun
伄	dmvm
琱	dmwm
窎	dmxm
窵	dmxn
调	dmy
鲷	dmyb
調	dmym
鯛	dmyn
訋	dmyo
誂	dmyp
魡	dmyq
鮉	dmyr
雕	dmz
貂	dmzb
颩	dnfm
丟	dnhm
铥	dnj
銩	dnjm
丢	dnp
掇	doa
挆	doam
挅	doan
痑	dobm
痥	dobn
凙	dobo
鬌	dobp
夺	dod
剁	dodb
奪	dodm
刴	dodn
剟	dodo
剫	dodp
奲	dodq
沲	doe
澤	doem
沰	doen
缍	dof
綞	dofm
陏	dofn
陊	dofo
隓	dofp
度	dog
朵	doi
柁	doib
朶	doim
杕	doin
杝	doio
枤	doip
柂	doiq
柮	doir
桗	dois
椯	doit
铎	doj
鐸	dojm
鈬	dojn
錞	dojo
裰	dok
袳	dokm
驮	dom
馱	domm
毲	domn
駄	domo
媠	donm
鵽	donn
哆	doo
咄	doob
哚	dooc
喥	doom
嚉	doon
嚲	dooo
硾	dopm
躲	dos
饳	dosm
崜	dosn
躱	doso
飿	dosp
嶞	dosq
軃	dosr
堕	dot
垛	dotb
墮	dotm
垜	dotn
埵	doto
墯	dotp
亸	dotq
仛	dovm
敓	dowm
敚	down
敠	dowo
敪	dowp
多	dox
惰	doxb
夛	doxm
憜	doxn
尮	doym
鮵	doyn
跺	doz
舵	dozb
踱	dozc
趓	dozm
跢	dozn
跥	dozo
得	dpc
嘚	dpom
剬	drdm
耑	drem
缎	drf
緞	drfm
煅	drh
椴	dri
断	drj
锻	drjb
鍛	drjm
斷	drjn
鍴	drjo
簖	drk
籪	drkm
褍	drkn
端	drl
腶	drlm
媏	drnm
段	drp
碫	drpm
毈	drpn
短	drs
塅	drtm
葮	drum
偳	drvm
瑖	drwm
躖	drzm
挏	dsam
揰	dsan
冻	dsb
凍	dsbm
蝀	dscm
洞	dse
涷	dsem
湩	dsen
絧	dsfm
戙	dsgm
鼕	dsgn
东	dsh
烔	dshm
燑	dshn
栋	dsi
東	dsim
棟	dsin
笗	dskm
箽	dskn
动	dsl
胴	dslb
胨	dslc
動	dslm
腖	dsln
勭	dslo
駧	dsmm
鸫	dsn
鶇	dsnm
姛	dsnn
娻	dsno
嬞	dsnp
鶫	dsnq
咚	dso
硐	dsp
氡	dsq
狪	dsqm
氭	dsqn
昸	dsrm
霘	dsrn
峒	dss
岽	dssb
崠	dssm
崬	dssn
垌	dst
埬	dstm
墥	dstn
董	dsu
苳	dsum
菄	dsun
蕫	dsuo
侗	dsv
倲	dsvm
働	dsvn
懂	dsx
恫	dsxb
諌	dsym
鮗	dsyn
鯟	dsyo
冬	dsz
夂	dszb
迵	dszm
揲	dta
挕	dtam
蝶	dtc
軼	dtcm
镻	dtcn
蜨	dtco
螲	dtcp
殜	dtdm
泆	dtem
爹	dtf
绖	dtfm
絰	dtfn
瓞	dtg
戜	dtgm
鞢	dtgn
柣	dtim
楪	dtin
槢	dtio
幉	dtjm
褋	dtkm
褺	dtkn
耋	dtl
胅	dtlm
耊	dtln
眣	dtmm
眰	dtmn
氎	dtmo
鴩	dtnm
喋	dto
哋	dtom
咥	dton
啑	dtoo
碟	dtp
牒	dtpb
牃	dtpm
昳	dtrm
曡	dtrn
峌	dtsm
崼	dtsn
嵽	dtso
堞	dtt
垤	dttb
疊	dttm
畳	dttn
疂	dtto
疉	dttp
苵	dtum
怢	dtxm
恎	dtxn
惵	dtxo
叠	dty
谍	dtyb
鲽	dtyc
諜	dtym
鰈	dtyn
詄	dtyo
跌	dtz
迭	dtzb
蹀	dtzc
臷	dtzm
趃	dtzn
跕	dtzo
跮	dtzp
艓	dtzq
蹛	dtzr
赌	dub
賭	dubm
凟	dubn
贕	dubo
蠹	duc
蝳	ducm
螙	ducn
蠧	duco
剢	dudm
殬	dudn
殰	dudo
渡	due
渎	dueb
瀆	duem
涜	duen
都	duf
匵	dufm
度	dug
髑	dugb
靯	dugm
豄	dugn
韇	dugo
黩	duh
黷	duhm
秺	duhn
杜	dui
椟	duib
櫝	duim
镀	duj
鍍	dujm
帾	dujn
覩	dujo
錖	dujp
鑟	dujq
笃	duk
篤	dukm
裻	dukn
肚	dul
毒	dum
督	dumb
睹	dumc
阇	dumm
闍	dumn
騳	dumo
妒	dun
犊	dunb
犢	dunm
妬	dunn
姤	duno
嬻	dunp
嘟	duo
叾	duom
牍	dup
牘	dupm
皾	dupn
独	duq
獨	duqm
醏	duqn
暏	durm
晵	durn
厾	dusm
堵	dut
芏	duu
荰	duum
琽	duwm
斁	duwn
瓄	duwo
韣	duwp
韥	duwq
读	duy
顿	duyb
讀	duym
頓	duyn
読	duyp
讟	duyq
搥	dvam
兑	dvb
兌	dvbm
痽	dvbn
对	dvc
對	dvcm
対	dvcn
轛	dvco
兊	dvem
濧	dven
濻	dveo
瀢	dvep
瀩	dveq
队	dvf
隊	dvfm
陮	dvfn
綐	dvfo
杸	dvim
镦	dvj
鐓	dvjm
錞	dvjn
鐜	dvjo
鴭	dvnm
啍	dvom
碓	dvp
磓	dvpm
祋	dvsm
堆	dvt
垖	dvtm
塠	dvtn
薱	dvum
敦	dvw
敓	dvwm
敚	dvwn
怼	dvx
憝	dvxb
懟	dvxm
憞	dvxn
頧	dvym
譈	dvyn
譵	dvyo
嗲	dwo
掟	dyam
定	dyb
疔	dybb
虰	dycm
鼎	dyd
鼑	dydm
濎	dyem
耵	dyf
聢	dyfm
靪	dygm
丁	dyh
椗	dyim
钉	dyj
锭	dyjb
釘	dyjm
錠	dyjn
鋌	dyjo
帄	dyjp
鐤	dyjq
腚	dyl
盯	dym
奵	dynm
叮	dyo
啶	dyob
碇	dyp
矴	dypm
碠	dypn
磸	dypo
酊	dyq
饤	dysm
飣	dysn
嵿	dyso
町	dyt
甼	dytm
艼	dyum
萣	dyun
薡	dyuo
仃	dyv
玎	dyw
忊	dyxm
顶	dyy
订	dyyb
訂	dyym
頂	dyyn
顁	dyyo
登	dzb
豋	dzdm
澄	dze
澂	dzem
瀓	dzen
邓	dzf
鄧	dzfm
隥	dzfn
戥	dzg
灯	dzh
燈	dzhm
櫈	dzim
凳	dzj
镫	dzjb
鐙	dzjm
覴	dzjn
等	dzk
簦	dzkb
竳	dzlm
瞪	dzm
嬁	dznm
噔	dzo
磴	dzp
嶝	dzs
墱	dztm
僜	dzvm
璒	dzwm
憕	dzxm
蹬	dzz
艠	dzzm
扼	eea
搕	eeam
搹	eean
搤	eeao
擜	eeap
匎	eebm
皒	eebn
痾	eebo
痷	eebp
齃	eebq
厄	eec
蛾	eecb
轭	eecc
軛	eecm
蚅	eecn
軶	eeco
蝁	eecp
齶	eecq
洝	eeem
涐	eeen
湂	eeeo
阿	eef
鄂	eefb
阨	eefm
阸	eefn
廅	eegm
戹	eehm
枙	eeim
櫮	eein
锷	eej
锇	eejb
鋨	eejm
鍔	eejn
卾	eejo
鈪	eejp
鈋	eejq
覨	eejr
鑩	eejs
腭	eel
丨	eelb
閼	eemm
睋	eemn
騀	eemo
鹅	een
娥	eenb
婀	eenc
鹗	eend
鵝	eenm
鶚	eenn
妸	eeno
妿	eenp
姶	eenq
娿	eenr
娾	eens
鵈	eent
鵞	eenu
哦	eeo
呃	eeob
噩	eeoc
吪	eeom
呝	eeon
咢	eeoo
咹	eeop
噁	eeoq
屙	eep
砐	eepm
砈	eepn
砵	eepo
砨	eepp
硆	eepq
磀	eepr
礘	eeps
欸	eeqm
歞	eeqn
饿	ees
峨	eesb
餓	eesm
岋	eesn
峉	eeso
峩	eesp
豟	eesq
崿	eesr
餩	eess
垩	eet
堊	eetm
堨	eetn
堮	eeto
萼	eeu
莪	eeub
苊	eeuc
蕚	eeum
俄	eev
偔	eevm
僫	eevn
囮	eewm
敋	eewn
珴	eewo
琧	eewp
恶	eex
愕	eexb
惡	eexm
悪	eexn
额	eey
鳄	eeyb
诶	eeyc
颚	eeyd
讹	eeye
谔	eeyf
訛	eeym
額	eeyn
諤	eeyo
顎	eeyp
鱷	eeyq
頋	eeyr
誐	eeys
魤	eeyt
頟	eeyu
頞	eeyv
譌	eeyw
鰐	eeyx
鰪	eeyy
讍	eeyz
遏	eez
迗	eezm
遌	eezn
遻	eezo
鞥	eggm
欸	eiqm
诶	eiy
誒	eiym
摁	ena
奀	endm
煾	enhm
嗯	eno
唔	enob
峎	ensm
蒽	enu
恩	enx
贰	erb
貳	erbm
貮	erbn
髶	erbo
髵	erbp
輀	ercm
轜	ercn
刵	erdm
二	ere
儿	ereb
而	erec
洱	ered
兒	erem
児	eren
耏	ereo
洏	erep
耳	erf
陑	erfm
聏	erfn
隭	erfo
杒	erim
栮	erin
栭	erio
梕	erip
樲	eriq
铒	erj
鉺	erjm
袻	erkm
胹	erlm
臑	erln
毦	ermm
粫	ermn
駬	ermo
鸸	ern
鴯	ernm
咡	erom
唲	eron
饵	ers
餌	ersm
峏	ersn
荋	erum
薾	erun
佴	erv
侕	ervm
乻	ervn
珥	erw
尔	erx
爾	erxm
尓	erxn
尒	erxo
衈	erxp
鲕	ery
鮞	erym
弍	eryn
弐	eryo
誀	eryp
迩	erz
邇	erzm
趰	erzn
發	fabm
冹	fabn
疺	fabo
発	fabp
髪	fabq
髮	fabr
法	fae
沷	faem
浌	faen
灋	faeo
彂	fagm
栰	faim
橃	fain
鍅	fajm
筏	fak
笩	fakm
阀	fam
閥	famm
瞂	famn
姂	fanm
乏	fap
砝	fapb
酦	faqm
醗	faqn
醱	faqo
罚	fas
罰	fasm
峜	fasn
罸	faso
垡	fat
坺	fatm
墢	fatn
茷	faum
蕟	faun
藅	fauo
伐	fav
佱	favm
傠	favn
珐	faw
琺	fawm
发	fay
殕	ffdm
缶	fff
缻	fffm
缹	fffn
紑	fffo
炰	ffhm
妚	ffnm
鴀	ffnn
否	ffo
雬	ffrm
蚡	fgcm
蚠	fgcn
轒	fgco
分	fgd
奋	fgdb
奮	fgdm
汾	fge
瀵	fgeb
濆	fgem
纷	fgf
紛	fgfm
隫	fgfn
弅	fggm
鼖	fggn
焚	fgh
炃	fghm
秎	fghn
燓	fgho
燌	fghp
棼	fgi
枌	fgim
棻	fgin
梤	fgio
橨	fgip
帉	fgjm
鈖	fgjn
幩	fgjo
鐼	fgjp
衯	fgkm
朌	fglm
竕	fgln
膹	fglo
粉	fgm
粪	fgmb
糞	fgmm
瞓	fgmn
黂	fgmo
妢	fgnm
鳻	fgnn
吩	fgo
哛	fgom
砏	fgpm
氛	fgq
酚	fgqb
獖	fgqm
昐	fgrm
雰	fgrn
朆	fgro
鼢	fgs
岎	fgsm
躮	fgsn
豮	fgso
餴	fgsp
豶	fgsq
饙	fgsr
坟	fgt
墳	fgtm
坆	fgtn
坋	fgto
芬	fgu
蒶	fgum
蕡	fgun
份	fgv
偾	fgvb
僨	fgvm
玢	fgw
瓰	fgwm
愤	fgx
忿	fgxb
憤	fgxm
馚	fgxn
馩	fgxo
鲼	fgy
鱝	fgym
羒	fgyn
翂	fgyo
訜	fgyp
魵	fgyq
黺	fgyr
羵	fgys
髣	fhbm
彷	fhc
蚄	fhcm
汸	fhem
淓	fhen
方	fhf
防	fhfb
纺	fhfc
邡	fhfd
匚	fhfe
紡	fhfm
旊	fhfn
房	fhh
枋	fhi
钫	fhj
鈁	fhjm
錺	fhjn
肪	fhl
眆	fhmm
眪	fhmn
妨	fhn
牥	fhnm
鴋	fhnn
鶭	fhno
昉	fhrm
昘	fhrn
昞	fhro
祊	fhsm
坊	fht
埅	fhtm
堏	fhtn
芳	fhu
仿	fhv
倣	fhvm
放	fhw
瓬	fhwm
访	fhy
鲂	fhyb
訪	fhym
魴	fhyn
舫	fhz
趽	fhzm
払	flam
贩	flb
販	flbm
軓	flcm
軬	flcn
輽	flco
轓	flcp
蠜	flcq
樊	fld
泛	fle
氾	flem
汎	flen
滼	fleo
瀪	flep
瀿	fleq
繁	flf
匥	flfm
緐	flfn
旙	flfo
旛	flfp
繙	flfq
颿	flfr
飜	flfs
烦	flh
燔	flhb
煩	flhm
梵	fli
杋	flim
柉	flin
桳	flio
棥	flip
橎	fliq
凡	flj
帆	fljb
幡	fljc
钒	fljd
釩	fljm
凣	fljn
凢	fljo
鐇	fljp
範	flkm
笵	flkn
笲	flko
襎	flkp
籓	flkq
勫	fllm
膰	flln
籵	flmm
盕	flmn
奿	flnm
婏	flnn
嬏	flno
嬎	flnp
鷭	flnq
噃	flom
矾	flp
礬	flpm
犯	flq
犭	flqb
犿	flqm
饭	fls
飯	flsm
飰	flsn
番	flt
畈	fltb
畨	fltm
墦	fltn
范	flu
藩	flub
蕃	fluc
蘩	flud
薠	flum
仮	flvm
攵	flw
璠	flwm
忛	flxm
憣	flxn
反	fly
翻	flyb
訉	flym
羳	flyn
鱕	flyo
返	flz
夂	flzb
蹯	flzc
辺	flzm
舤	flzn
舧	flzo
舩	flzp
覅	fmxm
梻	foim
坲	fotm
佛	fov
仏	fovm
仸	fovn
费	fpb
痱	fpbb
費	fpbm
發	fpbn
疿	fpbo
癈	fpbp
蜚	fpc
厞	fpcm
蜰	fpcn
蟦	fpco
剕	fpdm
奜	fpdn
沸	fpe
淝	fpeb
渄	fpem
濷	fpen
飞	fpf
非	fpfb
匪	fpfc
绯	fpfd
飛	fpfm
緋	fpfn
陫	fpfo
靟	fpfp
飝	fpfq
废	fpg
廢	fpgm
廃	fpgn
扉	fph
榧	fpi
杮	fpim
柹	fpin
棐	fpio
橨	fpip
橃	fpiq
櫠	fpir
镄	fpj
鐨	fpjm
篚	fpk
笰	fpkm
裶	fpkn
襏	fpko
肥	fpl
肺	fplb
腓	fplc
胏	fplm
胇	fpln
朏	fplo
胐	fplp
騑	fpmm
騛	fpmn
妃	fpn
婓	fpnm
婔	fpnn
啡	fpo
吠	fpob
砩	fpp
屝	fppm
